Date;Profile;Message;Number of Likes;Number of comments;Number of Reactions, Comments & Shares;Post interaction rate;Reach per post;Interactions per impression;Profile-ID;Post-ID;Link
12/05/2024 17:42;Brega Bregoso;"Em pleno Dia das Mães, a cantora Raphaela Santos presenteia seus fãs com sua primeira faixa do EP Time-Line: ‘Mãe Solo’ que já está disponível no YouTube.

Uma composição emocionante de Elvis Pires, mestre dos clássicos do brega pernambucano.

#bregabregoso #recife #memes";12860.0;126.0;12986.0;0.0046971145986003425;;;1006684000;1,79104E+16;https://www.instagram.com/p/C64docOu8Jj/
04/05/2024 14:04;Recife Ordinário;"Eu shippo! 😍
Recife Ordinário em Copacabana nesse show de Madonna? Temos! Acompanhe completo no story! 🙌

Marque seu amigo que vai gostar dessa resenha!

Apresentador: naldolopes_ ✅
#recife #pernambucomeupaís #copacabana #riodejaneiro #madonna #explore #explorar";12883.0;300.0;13183.0;0.006827598350976777;;;6947305861;1,80358E+16;https://www.instagram.com/reel/C6jd2YruAgr/
30/04/2024 17:00;Recife Ordinário;"🚨Muitas pessoas mandando no direct da gente o caos que o Barão de Lucena encontra-se nesse momento. Fomos procurar material sobre o caso e encontramos essa matéria da CBN. Se liguem:

“Em denúncias realizadas à CBN Recife, famílias com crianças internadas no Hospital Barão de Lucena relataram falta de assistência e ainda negligência na ala pediátrica da unidade. De acordo com os relatos, crianças estão há dias esperando por cirurgias, que não acontecem por falta de médicos. Além disso, crianças e bebês estão sendo entubados e colocados ao lado de macas ou na sala de atendimento do hospital, já que não há mais espaço e leitos para os pacientes.“

Segundo as famílias, a direção e o serviço social do hospital foram acionados, mas até o momento, o problema não foi solucionado. Procurada pela CBN Recife, a direção do Hospital Barão de Lucena negou a falta de assistência, disse estar realizando procedimentos cirúrgicos de urgência e emergência normalmente e afirmou que “a unidade vem trabalhando para dar maior rotatividade aos leitos, e isso inclui o direcionamento de pacientes para outros setores da unidade, como enfermaria e terapia intensiva”. 

O hospital também destacou que Pernambuco está em período de sazonalidade para vírus respiratórios, que afetam principalmente crianças. Inclusive, o Governo de Pernambuco, por meio da Secretaria Estadual de Saúde (SES-PE), decretou estado de emergência devido ao aumento de casos de Síndrome Respiratória Aguda Grave que, consequentemente, aumenta a taxa de ocupação de leitos nas UTIs.

Fonte: cbnrecife";12529.0;658.0;13187.0;0.006837127359190018;;;6947305861;1,80302E+16;https://www.instagram.com/reel/C6ZfTq-OUZ7/
03/05/2024 15:44;Recife Ordinário;"Motociclistas fizeram um “rolezinho” na Zona Norte do Recife, na madrugada desta quinta (02/05), tirando sossego dos moradores. 

Um vídeo enviado ao Diario de Pernambuco mostra jovens em várias motos percorrendo ruas e avenidas e fazendo muito barulho. É possível observar que o grupo tinha dezenas de pessoas. 
 
Em relato ao Diario, Vinicius Rocha, morador da área, contou ao que o “rolezinho” aconteceu por volta de 1h desta quinta, na Avenida Beberibe. Segundo ele, o “barulho intenso durou por cerca de três minutos”. 

Em nota enviada ao Diario, a Polícia Militar informou que vem desenvolvendo planejamento junto aos demais órgãos estaduais e municipais para coibir tal prática.

Foto: diariodepernambuco";12481.0;854.0;13335.0;0.006908231130193866;;;6947305861;1,8057E+16;https://www.instagram.com/reel/C6hE2ykOo3u/
08/05/2024 11:55;Recife Ordinário;"Quem lembra?
O Shopping Recife é realmente o maior da América Latina? Pra gente é e sempre será! 😅

Porém, nossa históriadora almeidatthais trouxe alguns fatos importantes pra gente entender a um pouco sobre o clássico Shopping Recife! 🙌

#recife #pernambucomeupaís #historia #explore #explorar";13168.0;275.0;13443.0;0.006955525614836799;;;6947305861;1,79146E+16;https://www.instagram.com/reel/C6tiZO4uqdG/
17/04/2024 14:30;Recife Ordinário;"Aqui em Pernambuco só se fala nessa final do BBB. No metrô tá todo mundo debatendo o assunto! 👀

#meme #bbb #humor #bbb24 #explorar #exolore";13777.0;166.0;13943.0;0.0072492702896900536;;;6947305861;1,8078E+16;https://www.instagram.com/reel/C53vyz1ukq6/
20/04/2024 14:49;Brega Bregoso;"Hoje a noite promete ser quente no Lounge Music em Piedade! Prepare-se para muito brega-funk com as atrações de peso: DJ 7K, Grazi Almeida, Dedé a Mais de Mil, MC Reino e MC Abalo! Vai ser uma explosão de música e diversão! Não fique de fora dessa! 🔥

 #bregabregoso #recife #memes";13887.0;88.0;13975.0;0.005087566206619624;;;1006684000;1,80438E+16;https://www.instagram.com/p/C5_gUiULa1_/
24/04/2024 11:35;Casa Amarela Notícias 🏡✍️;"Morreu no Hospital da Restauração, na área central do Recife, o motociclista atropelado por uma viatura da Batalhão de Radiopatrulha (BPRp) da Polícia Militar de Pernambuco, na manhã desta quarta-feira (24), na avenida Governador Agamenon Magalhães.

A vítima foi identificada como João Gilberto de Oliveira Filho, de 51 anos. O acidente aconteceu por volta das 5h, na pista local da via, em frente ao Real Hospital Português, nas proximidades do cruzamento com a rua do Paissandú.

De acordo com a PM, os agentes estavam retornando à base quando visualizaram dois homens roubando uma motocicleta nas proximidades do viaduto da João de Barros.

Fonte: Folha/PE";137.0;3.0;140.0;0.017475970540506803;;;221779450;1,79943E+16;https://www.instagram.com/p/C6JdWhiLaF8/
16/04/2024 17:38;NOVA 10COBERTA ORDINÁRIA;"Está cada dia mais difícil 😭😢

.
.
.

#a #novadescoberta #novadescobertaordinaria #novadescobertarecife #recifepernambuco #workout #recifepernambucobrasil #que #videos #fyp #fy #fypシ  #instagood #instagram #reels #casaamarela #guabiraba #a #bomdia #naturephotography #photooftheday #k #cat  #tv #sbt  #diadosnamorados #pascoa";1359.0;44.0;1403.0;0.018548387096774192;;;4538520015;1,80295E+16;https://www.instagram.com/reel/C51gb8SudT3/
08/05/2024 21:26;Brega Bregoso;"Saiu mais vídeos vocês viram? Isso mesmo, o DVD de Lekinho Campos, que é um dos grandes nomes do brega romântico, gravado na Festa da Pitomba em Jaboatão dos Guararapes.

O DVD tem diversas participações especiais e faz uma viagem em hits da carreira do cantor e alguns clássicos do nosso brega! Arrasta pra o lado e confere alguns trechos.

Vocês podem conferir completo no YouTube!
#bregabregoso #recife #memes";14096.0;162.0;14258.0;0.005159317166652675;;;1006684000;1,78572E+16;https://www.instagram.com/p/C6ukDnxOYM2/
01/05/2024 17:24;Brega Bregoso;"Fim do mistério! Vem uma menina por aí… 💖🙏

🎥 gutierrezpessoal 
#bregabregoso #recife #memes";139361.0;3864.0;143225.0;0.052029296971493506;;;1006684000;1,80575E+16;https://www.instagram.com/reel/C6cGq5Ruqup/
13/05/2024 17:39;Recife Ordinário;"Packzinho de memes pra começar a semana daquele jeito 😂👉🏽

#humor #resenha #explorar #uber #cotidiano #pernambuco";14251.0;152.0;14403.0;0.007445261586988807;;;6947305861;1,80278E+16;https://www.instagram.com/p/C67CGlIuUbM/
28/04/2024 12:44;Recife Ordinário;A situação da Av Caxangá nesse momento é de vários pontos de alagamento. A chuva já não é tão intensa quanto pela manhã, mas a água ainda não desceu! 🚨;14105.0;345.0;14450.0;0.007493670570981396;;;6947305861;1,79511E+16;https://www.instagram.com/reel/C6T4R5VOK7X/
24/04/2024 16:35;Recife Ordinário;"Agora vocês acreditam que não era meme? 👀
Essa história é mais antiga do que vocês imaginam. Muitos comentários eram relatos sérios! 

Enviado por: oxepedrinn";14551.0;258.0;14809.0;0.007689839172328418;;;6947305861;1,84367E+16;https://www.instagram.com/p/C6J_mzBOKpm/
23/04/2024 14:03;Brega Bregoso;"PARTIU? 💉

Estudantes da Universidade Federal estão se dedicando ao desenvolvimento de uma vacina revolucionária que promete diminuir a vontade de trair em homens e mulheres. A pesquisa, que visa combater a infidelidade nos relacionamentos, está avançando a passos largos e a previsão é que a vacina esteja pronta a partir do próximo ano. Se bem-sucedida, essa inovação pode trazer mudanças significativas na dinâmica dos relacionamentos e na sociedade como um todo, oferecendo uma nova perspectiva para lidar com questões de fidelidade e confiança.

'Percebemos que é uma prática muito comum aqui em Pernambuco, que causa muitos transtornos psicológicos as pessoas principalmente que levam, estamos buscando reduzir isso e assim, futuramente, fazer que as pessoas tenham relacionamentos mais saudáveis!' relatou Letícia Vilarym.

Fonte: Arial 11 
#bregabregoso #recife #memes";14369.0;469.0;14838.0;0.005404745817040721;;;1006684000;1,79401E+16;https://www.instagram.com/p/C6HJeyugJ_N/
02/05/2024 10:33;Recife Ordinário;"E se fizesse a música da Cinderela em 10 estilos diferentes? Arrasta pro lado e veja a lombra! 😂👉🏽

cindygram__ nos te amamos! 🫶❤️";14289.0;664.0;14953.0;0.00774957968908394;;;6947305861;1,82284E+16;https://www.instagram.com/p/C6d8idBuQcH/
29/04/2024 10:10;Recife Ordinário;"Eu pensava que era só em Recife que tinha farmácia em todo canto. Apois elas já estão dominando outros planetas! 😂

Qual a sua opinião sobre isso? 👇🏽";14402.0;592.0;14994.0;0.007774857870578743;;;6947305861;1,80652E+16;https://www.instagram.com/p/C6WLjxLu3d1/
02/05/2024 08:28;Recife Ordinário;"A galera daqui adora uma lista, né? Bora completar então 👇🏽

#recife #lista #humor #queijudos #recifenses";13825.0;1207.0;15032.0;0.007790522429365999;;;6947305861;1,80561E+16;https://www.instagram.com/p/C6duOBzu0hZ/
30/04/2024 14:50;Brega Bregoso;"Olha a dica pra baratinar: Nesta terça, véspera de feriado, seu destino é a Esquina 203 em Afogados! Uma nova casa de show, totalmente climatizada e com atrações de peso prometem fazer uma noite daquele jeito pra vocês.

Os Neiff’s, Vitinho Polêmico, MC Menor e Robelly Ramos comandam a festa hoje para ninguém ficar parado! 🔥

Convoca todo mundo que hoje tem!
Mais informações: esquina203oficial 

#bregabregoso #recife #bregafunk";15052.0;105.0;15157.0;0.005514407604112321;;;1006684000;1,82351E+16;https://www.instagram.com/p/C6ZQZE0uSw0/
23/04/2024 12:11;Recife Ordinário;"Quem lembra? 😨
E a fake news do RioMar que assustou a cidade todinha na época? Quem é das antigas vai lembrar! 🙌

Comenta se tu lembra de alguma história antiga de Recife. A gente vem contar ela aqui!

Texto/apresentação: almeidatthais 
#recife #pernambuco #riomar #shopping #lendas #fakenews #explore #explorar";15050.0;236.0;15286.0;0.007939731588663106;;;6947305861;1,79893E+16;https://www.instagram.com/reel/C6G8iO1OqSp/
01/05/2024 09:05;Recife Ordinário;Comenta aí o que tu vai fazer nesse feriado! 👇🏾;14695.0;1389.0;16084.0;0.008337186422474118;;;6947305861;1,8019E+16;https://www.instagram.com/p/C6bNqL0uTSM/
02/05/2024 05:00;Recife Ordinário;"Bom dia, ordinários! 
O sol tá lindo hoje. Perfeito pra gente voltar pra realidade e torrar nele daqui a pouco! 😅

Bora levantar esse rabo da cama e reagir? ☀️
Foto: neryfoto 
#recife #bomdia #sol #solnascente #explore #explorar";16158.0;61.0;16219.0;0.00840570005866732;;;6947305861;1,80192E+16;https://www.instagram.com/p/C6dWe6hufJd/
09/05/2024 18:11;Brega Bregoso;"Para quem estava ansioso pelo novo DVD do retorno épico de Tocha e Dada Boladão, a espera acabou! 23 faixas inéditas já disponíveis no YouTube. O DVD está repleto de músicas novas e muitos sucessos que marcaram a história dos dois. 

Corre lá e confere já! 🔥";16681.0;147.0;16828.0;0.006089282457597925;;;1006684000;1,82986E+16;https://www.instagram.com/reel/C6wyZbmuLw6/
05/05/2024 09:02;NOVA 10COBERTA ORDINÁRIA;"Resenha 😹😹

.
.
.

#a #novadescoberta #novadescobertaordinaria #novadescobertarecife #recifepernambuco #workout #recifepernambucobrasil #que #videos #fyp #fy #fypシ  #instagood #instagram #reels #casaamarela #guabiraba #a #bomdia #naturephotography #photooftheday #k #cat  #tv #sbt";168.0;2.0;170.0;0.0021875924901236634;;;4538520015;1,79954E+16;https://www.instagram.com/reel/C6lgeSKrw63/
06/05/2024 07:11;NOVA 10COBERTA ORDINÁRIA;"INCIDENTE COM CAMINHÃO NA ZONA SUL DE SÃO
PAULO CAUSA SUSTO EM MORADORES

Na noite deste sábado (04), um incidente preocupante deixou moradores do bairro Jardim Vera Cruz, na Zona Sul de São Paulo, em alerta. Por volta das 18:24, na Avenida dos Funcionários Públicos, um caminhão passou por uma lombada e enfrentou uma falha mecânica grave: a trava da boleia se rompeu, resultando na queda da parte frontal do veículo.

Apesar da situação crítica, o motorista, cuja identidade não foi divulgada, conseguiu saltar do caminhão e teve ferimentos leves e encontra-se bem. Após a perda da parte dianteira, o caminhão ficou descontrolado, colidindo com um muro próximo.

Na há informações de outras vítimas.

.
.
.

#a #novadescoberta #novadescobertaordinaria #novadescobertarecife #recifepernambuco #workout #recifepernambucobrasil #que #videos #fyp #fy #fypシ  #instagood #instagram #reels #casaamarela #guabiraba #a #bomdia #naturephotography #photooftheday #k #cat  #tv #sbt";1667.0;36.0;1703.0;0.021883553282532994;;;4538520015;1,80567E+16;https://www.instagram.com/reel/C6n4eikuOSx/
19/04/2024 09:51;Brega Bregoso;"Meu irmão, que astúcia! 😂🏄

Eles ativaram o modo invisível e foram no caminho secreto ali, ainda bem que não vinha metrô na hora… tem que ter as manhas né? Só poderia ser aqui! 

#bregabregoso #recife #memes";166615.0;4154.0;170769.0;0.062189338273451876;;;1006684000;1,80411E+16;https://www.instagram.com/reel/C58edYiuKmt/
24/04/2024 18:17;Recife Ordinário;"Tou doido pra saber se ele desceu pra entender o restante do babado! 😨

Vídeo: pedrobarros_triathlon
#recife #oernambuco #boaviagem #tubarao #explore #explorar";167434.0;3493.0;170927.0;0.08875691405284486;;;6947305861;1,78724E+16;https://www.instagram.com/p/C6KLQgrOMsG/
17/04/2024 19:15;Brega Bregoso;"Ela é o momento! ✨

O novo EP da Noara Marques com 8 faixas inéditas, incluindo o hit “Fala que não ama” e colaborações incríveis com Raphaela Santos, Priscila Senna e Ester Moraes. 

Resgatando o bregão com muito romantismo e talento! A cantora faz parte da Top Work (topworkoficial) uma das produtoras que mais crescem e investem no brega romântico! 👏

#bregabregoso #topwork #recife";17012.0;175.0;17187.0;0.006261069893605162;;;1006684000;1,80122E+16;https://www.instagram.com/p/C54QYkdrcq6/
07/05/2024 19:19;Recife Ordinário;"Compartilha nos stories se vc é exatamente assim! 😂

O z_alterado deveria ser Patrimonio Histórico da Humanindade! Que boy donzelo 🤣🤣

Via: pernambucoposting 
#recife #pernambuco #humor #meme #explore #explorar";17036.0;189.0;17225.0;0.008915377667820015;;;6947305861;1,79444E+16;https://www.instagram.com/reel/C6rwlNHOemU/
10/05/2024 15:25;Brega Bregoso;"Partiu Camaragibe! A cidade comemora 42 anos de sua emancipação e preparou uma super festa com quatro dias de duração e, claro, muito BREGA! 😍

Confira a programação completa:

Sexta 10:  Forró de Nós da Terra, Capim com Mel, Tayara Andreza e Banda Sedutora! ❤️

Sábado 11: Zuadões do Forró, Santroppê, Priscila Senna e Luanny Vital! 👑 

Domingo 12: Grupo Love Samba, Gerlane Lops, Caviar com Rapadura, Mel com Terra e Conde Só Brega! 🎤 

Segunda 13: Liberação dos brinquedos para crianças, Tio Bruninho e o Corte do bolo! 🎂 

Convoca todo mundo que a festa vai ser massa!
#bregabregoso #camaragibe #memes";17214.0;233.0;17447.0;0.0063126214800631585;;;1006684000;1,80255E+16;https://www.instagram.com/p/C6zEWDkuUsv/
01/05/2024 18:07;Brega Bregoso;"Ele só tinha 12 tiro, uma lancha e um sonho…

Entretenimento 100% 
#bregabregoso #recife #memes";166159.0;8434.0;174593.0;0.0634243396484131;;;1006684000;1,79374E+16;https://www.instagram.com/p/C6cLuFguF9D/
